2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
|                   Dark Hole                    |  8.28  |
|             Buster Blade Ultra 1st             |  7.65  |
|             Buster Blade Ultra unl             |  7.65  |
|                    MST MRL                     |  6.82  |
|            Enemy Controller AST 1st            |  6.8   |
|            Enemy Controller AST unl            |  6.8   |
|    thoughtruler archfiend Ultimate 1st fre     |  6.51  |
|                  Mind Control                  |  6.0   |
|           Call of the Haunted Ultra            |  5.0   |
|         Legendary Fisherman Ultra 1st          |  4.87  |
|             Torrential Tribute 1st             |  4.27  |
|          Torrential Tribute Unlimited          |  4.27  |
|               XYZ Dragon Cannon                |  3.95  |
|                Leviathan Dragon                |  3.9   |
|                   Armory Arm                   |  3.78  |
|        Serpent Night Dragon Secret 1st         |  3.78  |
|                   Acid Golem                   |  3.51  |
|                      Gorz                      |  3.31  |
|                   Zenmaines                    |  3.3   |
|                 Utopia Ray UTR                 |  3.0   |
|                  Heavy Storm                   |  1.77  |
|                 Zenmaister UTR                 |  1.74  |
|                 Fiendish Chain                 |  1.08  |
|                     Utopia                     |  0.95  |
|                      test                      |   0    |
+------------------------------------------------+--------+
2020-06-30
+---------------------------------+--------+
|               Card              | Price  |
+---------------------------------+--------+
|      Atlantean Dragoons UTR     | 129.15 |
|       Deep Sea Diva Super       | 92.45  |
|          Abyss Dweller          | 90.01  |
|      Atlantean Marksman UTR     | 47.13  |
|             Big Eye             | 35.47  |
|       Mermail Abyssmegalo       | 26.26  |
|        Mermail Abyssteus        | 25.87  |
|             Dewloren            | 24.42  |
|        Mermail Abyssgaios       | 21.94  |
|          Bahamut Shark          | 21.05  |
|             Gungnir             | 18.31  |
|           Breakthrough          | 10.19  |
|        Mermail Abysslinde       | 10.13  |
| Atlantean Heavy Infrantry Super |  8.49  |
|       Mermail Abyss-sphere      |  7.27  |
|        Mermail Abyssgunde       |  7.01  |
|        Mermail Abysspike        |  5.05  |
|        Mermail Abyssleed        |  1.75  |
|        Mermail Abysstrite       |  1.06  |
|               test              |   0    |
+---------------------------------+--------+
2020-06-30
+---------------------------------+--------+
|               Card              | Price  |
+---------------------------------+--------+
|      Atlantean Dragoons UTR     | 129.15 |
|       Deep Sea Diva Super       | 92.45  |
|          Abyss Dweller          | 90.01  |
|      Atlantean Marksman UTR     | 47.13  |
|             Big Eye             | 35.47  |
|       Mermail Abyssmegalo       | 26.26  |
|        Mermail Abyssteus        | 25.87  |
|             Dewloren            | 24.42  |
|        Mermail Abyssgaios       | 21.94  |
|          Bahamut Shark          | 21.05  |
|             Gungnir             | 18.31  |
|           Breakthrough          | 10.19  |
|        Mermail Abysslinde       | 10.13  |
| Atlantean Heavy Infrantry Super |  8.49  |
|       Mermail Abyss-sphere      |  7.27  |
|        Mermail Abyssgunde       |  7.01  |
|        Mermail Abysspike        |  5.05  |
|        Mermail Abyssleed        |  1.75  |
|        Mermail Abysstrite       |  1.06  |
|               test              |   0    |
+---------------------------------+--------+
2020-07-02
+----------------------------------------+-------+
|                  Card                  | Price |
+----------------------------------------+-------+
|              honest ghost              | 46.78 |
| charge of the light brigade secret 1st |  27.4 |
|      solar recharge Ultimate 1st       |  18.1 |
|              lyla utr 1st              | 15.08 |
|               Garoth TU                | 11.22 |
|              beckoning TU              |  9.05 |
|          necro gardna utr 1st          |  7.92 |
|            ehren secret 1st            |  7.43 |
|            celestia utr 1st            |  5.4  |
|                wulf 1st                |  1.65 |
|                ryko 1st                |  1.57 |
|                  test                  |   0   |
+----------------------------------------+-------+
2020-07-14
+------------------------------------------------+--------+
|                      Card                      | Price  |
+------------------------------------------------+--------+
|           Blue-Eyes White Dragon DDS           | 717.78 |
|            scapegoat ultra rp01 ita            | 610.98 |
|               Dark Magician DDS                | 499.99 |
|               Book of Moon Super               | 403.49 |
|           Maxx c ultimate 2spa 1eng            | 358.04 |
|       cyber dark dragon Ultimate german        | 291.66 |
|           Dark Armed Dragon Ultimate           | 224.13 |
|             Dark Paladin 1st Ultra             | 186.37 |
|           Stardust Dragon Ghost Unl            | 170.64 |
|     Trishula, Dragon of the Ice Barrier DT     | 165.25 |
|        cyber end dragon Ultimate italy         | 164.99 |
|          tour guide ultimate italian           | 152.47 |
|            Judgment Dragon Ultimate            | 148.56 |
|       Lumina, Lightsworn Summoner Super        | 147.37 |
|           night assailant super ita            | 136.92 |
|          black rose dragon Ghost Unl           | 133.67 |
|               trishula ultimate                | 123.58 |
|         Dark Magician Girl Secret 1st          | 119.49 |
|         Dark Magician Girl Secret UNL          | 119.49 |
| Pot of Avarice Ultimate 1st 2 german 1 english | 115.0  |
|           power bond Ultimate german           | 112.75 |
|              foolish burial super              | 106.72 |
|              Spirit Reaper Super               |  99.3  |
|               sangan super rp01                | 93.91  |
|                  catastor DTP                  | 88.96  |
|        Allure of darkness Ultimate Unl         | 88.29  |
|      allure of darkness Ultimate 1st ita       | 88.29  |
|    trap dustshoot super 2 english 1 german     | 87.39  |
|           Effect Veiler Ultimate 1st           | 86.26  |
|              Bottomless Trap Hole              | 85.58  |
|          Red Eyes Black Metal Dragon           | 85.38  |
|         Red Eyes Black Dragon BPT 2002         | 84.94  |
|         cyberdark edge Ultimate german         |  75.7  |
|          chimeratech Ultimate german           | 72.39  |
|             lonefire blossom super             | 72.13  |
|             Dark Magician BPT 2002             | 70.56  |
|                  MST ultimate                  | 68.44  |
|              dd crow Ultimate 1st              | 67.56  |
|               EHERO Spark secret               |  64.3  |
|              EHERO clayman secret              | 64.12  |
|               tk raioh Ultimate                | 62.04  |
|               Chaos Sorcerer TU                | 59.47  |
|               Tsukuyomi Ultimate               | 56.36  |
|         ancient fairy dragon Ghost Unl         | 56.08  |
|             Blue Eyes Toon Dragon              | 55.88  |
|           solem warning ultimate 1st           |  54.5  |
|         caius shadow monarch Ultimate          | 53.32  |
|           Slifer The Sky Dragon YMA            | 51.62  |
|           red nova drag Ultimate 1st           | 51.21  |
|            Stardust Dragon Ultimate            | 50.41  |
|      lightning vortex Ultimate 1st french      |  50.0  |
|            The Winged Dragon of Ra             | 49.59  |
|                  honest ghost                  | 47.09  |
|       Chaos Emperor Dragon Ultimate 1st        | 46.87  |
|               EHERO Avian secret               | 45.73  |
|        tragoedia ultimate 2 ENG 1 italy        | 45.51  |
|               EHERO Burst secret               | 45.21  |
|               Maxx c Secret 1st                | 44.99  |
|                   brionac DT                   | 44.86  |
|            Dark Magician Girl LCYW             | 42.63  |
|      glowup bulb Ultimate 2 eng 1 italian      |  42.4  |
|            Gate Guardian Secret 1st            | 42.16  |
|            Gate Guardian Secret Unl            | 42.16  |
|          Thousand Eyes Restrict RP02           | 41.37  |
|             Smashing Ground Super              | 41.16  |
|        shooting star drag Ultimate 1st         | 40.39  |
|           black rose dragon ultimate           |  40.3  |
|                Archlord Kristya                | 40.22  |
|               dandylion Ultimate               | 38.69  |
|     cyber twin dragon Ultimate 1st german      | 38.49  |
