collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|          Judgment Dragon Ultimate          |  494  |
|             Breaker TP7 super              |  472  |
|     Night Assailant Super CP 3 EN 1 IT     |  443  |
|     Trap Dustshoot Super CP 2 EN 1 DE      |  431  |
|            Jinzo Secret PSV 1st            |  425  |
| Allure of Darkness Ultimate 1st 1 DE 2 IT  |  409  |
|     Allure of Darkness Ultimate 1st EN     |  409  |
|         Dark Armed Dragon Ultimate         |  405  |
|      Caius Shadow Monarch Ultimate TU      |  399  |
|          Foolish Burial Super CP           |  374  |
|            Gravekeeper Spy CP03            |  372  |
|           Spirit Reaper Super CP           |  368  |
|         Cyber Dragon Ultimate 1st          |  331  |
|      Lightning Vortex Ultimate 1st FR      |  329  |
|            DD Crow Ultimate 1st            |  311  |
|   Charge of the Light Brigade Secret 1st   |  305  |
|    Lumina, Lightsworn Summoner Super CP    |  301  |
|     Chaos Emperor Dragon Ultimate 1st      |  292  |
|        Tour Guide Ultimate Italian         |  284  |
|  Phoenix Wing Wind Blast Ultimate 1st NM   |  271  |
|          Chaos Sorcerer Ultra TU           |  261  |
|   Pot of Avarice Ultimate 1st 2 DE 1 EN    |  260  |
| Pot of Greed Ultimate 1st - 2 EN 2 Foreign |  260  |
|          Smashing Ground Super CP          |  259  |
|    Brain Control Ultimate 1st 1 EN 1 DE    |  217  |
|             Sangan Super RP01              |  209  |
|             Tragoedia Ultimate             |  205  |
|      Dark Magician of Chaos DMOC 1st       |  200  |
|              Krebos Super TU               |  193  |
|  Emegency Teleport Ultimate 1st 1 EN 2 DE  |  190  |
|        Thunder King Rai-Oh Ultimate        |  182  |
|            Doom Lord Rare DR04             |  180  |
|          Dimension Fusion IOC 1st          |  178  |
|  Phoenix Wing Wind Blast Ultimate 1st LP   |  173  |
|             Maxx C Secret 1st              |  165  |
|       Crush Card Virus Ultimate 1st        |  163  |
|          Dark Grepher Secret 1st           |  163  |
|           Delinquent Duo MRL 1st           |  158  |
|           Honest Ghost Unlimited           |  156  |
|        Destiny Hero Dasher UTR 1st         |  152  |
|        Solemn Warning Ultimate 1st         |  147  |
|           Threatening Roar CP07            |  144  |
|            Mirror Force MRD 1st            |  143  |
|              Snipe Hunter cp3              |  140  |
|        Solar Recharge Ultimate 1st         |  135  |
|     Mystical Space Typhoon MST MRL 1st     |  133  |
|             Dandylion Ultimate             |  122  |
|            Dekoichi UTR 1st NM             |  122  |
|             Lyla Ultimate 1st              |  118  |
|           Mind Crush CP08 Super            |  118  |
|         Machine Dupe Ultimate 1st          |  117  |
|               Demise UTR 1st               |  112  |
|           Cyber Jar Ultimate 1st           |  111  |
|         Torrential Tribute LON 1st         |  111  |
|             Tsukuyomi Ultimate             |  105  |
|       Ring of Destruction Secret 1st       |  104  |
|           Pot of Duality Scr 1st           |   99  |
|        Future Fusion UTR Unlimited         |   96  |
|           Celestia Ultimate 1st            |   94  |
|          Call of the Haunted 1st           |   93  |
|         Glowup Bulb Ultimate 2 EN          |   91  |
|            Snatch Steal MRL 1st            |   91  |
|           Tour Guide Secret 1st            |   87  |
|         Archlord Kristya Unlimited         |   85  |
|              Ehren Secret 1st              |   78  |
|             Doom Dozer UTR 1st             |   77  |
|          Enemy Controller AST 1st          |   75  |
|         Thunder King Rai-oh Secret         |   75  |
|             Dark Hole LOB 1st              |   74  |
