collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|          Smashing Ground Super CP          |  144  |
|           Honest Ghost Unlimited           |  137  |
|           Threatening Roar CP07            |  131  |
|        Destiny Hero Dasher UTR 1st         |  129  |
|             Tragoedia Ultimate             |  127  |
|             Maxx C Secret 1st              |  123  |
|           Mind Crush CP08 Super            |  118  |
|        Solemn Warning Ultimate 1st         |  117  |
|     Mystical Space Typhoon MST MRL 1st     |  114  |
|        Solar Recharge Ultimate 1st         |  104  |
|              Krebos Super TU               |   99  |
|             Lyla Ultimate 1st              |   95  |
|             Tsukuyomi Ultimate             |   94  |
|              Snipe Hunter cp3              |   93  |
|             Dandylion Ultimate             |   91  |
|            Mirror Force MRD 1st            |   90  |
|       Crush Card Virus Ultimate 1st        |   89  |
|        Future Fusion UTR Unlimited         |   89  |
|           Pot of Duality Scr 1st           |   88  |
|         Torrential Tribute LON 1st         |   88  |
|           Delinquent Duo MRL 1st           |   80  |
|          Dimension Fusion IOC 1st          |   80  |
|         Machine Dupe Ultimate 1st          |   80  |
|         Archlord Kristya Unlimited         |   79  |
|           Cyber Jar Ultimate 1st           |   79  |
|               Demise UTR 1st               |   79  |
|            Snatch Steal MRL 1st            |   75  |
|          Enemy Controller AST 1st          |   74  |
|            Dekoichi UTR 1st NM             |   73  |
|             Dark Hole LOB 1st              |   69  |
|              Ehren Secret 1st              |   69  |
|          Call of the Haunted 1st           |   68  |
|         Glowup Bulb Ultimate 2 EN          |   68  |
|           Celestia Ultimate 1st            |   65  |
|           Tour Guide Secret 1st            |   63  |
|            Heavy Storm MRD 1st             |   59  |
|                Ruin UTR 1st                |   57  |
|             Doom Dozer UTR 1st             |   56  |
|           Debris Dragon Ultimate           |   54  |
|       Ring of Destruction Secret 1st       |   52  |
|     Monster Reincarnation Ultimate 1st     |   51  |
|         Cyber Phoenix Ultimate 1st         |   50  |
|        Dark Lord Zerato Secret 1st         |   49  |
|   Diamond Dude Ultimate 1st - 2 EN 1 DE    |   45  |
|       Premature Burial Ultra 1st NM        |   45  |
|           Doomcalibur Knight TU            |   43  |
|         Thunder King Rai-oh Secret         |   43  |
|            Battle Fader UTR 1st            |   42  |
|         Necro Gardna Ultimate 1st          |   39  |
|       Giant Trunade - MRL Super 1st        |   38  |
|                Beckoning TU                |   34  |
|            Divine Wrath UTR 1st            |   31  |
|            Dekoichi UTR 1st LP             |   30  |
|          Tribe infecting MFC 1st           |   29  |
|           Thunder Dragon MRD 1st           |   28  |
|          Nobleman of Crossout 1st          |   26  |
|            D Hero Malicious 1st            |   24  |
|          Rescue Rabbit Secret 1st          |   22  |
|          Card Destruction SDY 1st          |   21  |
|           Royal Decree DB2 Super           |   21  |
| Return from Different Dimension DPKB Super |   20  |
|           Mind Control WC Super            |   18  |
|       Solemn Judgment MRD Unlimited        |   17  |
|       Royal Oppression Rare LOD 1st        |   12  |
|        Harpie's Feather Duster SDD         |   10  |
|            Confiscation MRL 1st            |   9   |
|              Destiny Draw 1st              |   9   |
|         Destiny Hero Plasma Secret         |   9   |
|                 Garoth TU                  |   9   |
|                 Gorz RP02                  |   8   |
|         ROTA Reinforcement LOD 1st         |   8   |
|          Dark Mimic Lv3 Ultimate           |   7   |
|               Wulf LODT 1st                |   7   |
|          Graceful Charity SDP 1st          |   5   |
|              Aurkus LODT 1st               |   3   |
|                 Gorz DLG1                  |   3   |
|           Crush Card Virus GLD1            |   0   |
|               Dark Mimic Lv1               |   0   |
|            Gold Sarc GLD2 2009             |   0   |
|              Honest Ghost 1st              |   0   |
|               Ryko LODT 1st                |   0   |
|          Scapegoat Ultra RP01 ita          |   0   |
|                    test                    |   0   |
+--------------------------------------------+-------+
collection_extra_deck - 2023-01-01
+-----------------------------------------------+-------+
|                      Card                     | Price |
+-----------------------------------------------+-------+
|           Stardust Dragon Ghost 1st           |  1649 |
|         Ancient Fairy Dragon Ghost 1st        |  649  |
|       Cyber Dark Dragon Ultimate 1st GER      |  584  |
|       Red Dragon Archfiend Ultimate 1st       |  297  |
|           Stardust Dragon Ghost Unl           |  289  |
|       Cyber Twin Dragon Ultimate 1st GER      |  239  |
